date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2020-04-01,Sabah,3.0,0.0,2554.0,677.0,50.0,209.0,1.0
2020-04-01,Labuan,0.0,0.0,122.0,15.0,0.0,10.0,0.0
2020-04-01,Kuala Lumpur,25.0,0.0,3443.0,552.0,30.0,457.0,7.0
2020-04-01,Putrajaya,0.0,0.0,,,,27.0,1.0
2020-04-01,Terengganu,1.0,0.0,1232.0,215.0,12.0,48.0,0.0
2020-04-01,Selangor,22.0,1.0,887.0,476.0,42.0,721.0,8.0
2020-04-01,Sarawak,32.0,1.0,2390.0,418.0,14.0,188.0,9.0
2020-04-01,Penang,2.0,0.0,1158.0,86.0,6.0,95.0,1.0
2020-04-01,Kelantan,3.0,0.0,1614.0,309.0,25.0,134.0,2.0
2020-04-01,Perak,5.0,0.0,2619.0,322.0,46.0,194.0,3.0
2020-04-01,Pahang,9.0,0.0,1669.0,504.0,33.0,111.0,0.0
2020-04-01,Negeri Sembilan,8.0,0.0,1223.0,262.0,10.0,189.0,2.0
2020-04-01,Malacca,11.0,0.0,1091.0,95.0,12.0,63.0,2.0
2020-04-01,Kedah,2.0,0.0,1218.0,165.0,16.0,79.0,1.0
2020-04-01,Perlis,0.0,0.0,508.0,12.0,4.0,13.0,1.0
2020-04-01,Johor,19.0,0.0,1440.0,459.0,0.0,370.0,12.0
2020-04-02,Penang,2.0,0.0,1158.0,86.0,6.0,97.0,1.0
2020-04-02,Putrajaya,7.0,0.0,,,,34.0,1.0
2020-04-02,Labuan,0.0,0.0,122.0,15.0,0.0,10.0,0.0
2020-04-02,Kuala Lumpur,39.0,0.0,3458.0,544.0,30.0,496.0,7.0
2020-04-02,Terengganu,2.0,0.0,1232.0,215.0,12.0,50.0,0.0
2020-04-02,Selangor,70.0,0.0,887.0,476.0,42.0,791.0,8.0
2020-04-02,Sarawak,23.0,0.0,2390.0,418.0,14.0,211.0,9.0
2020-04-02,Sabah,1.0,0.0,2554.0,690.0,50.0,210.0,1.0
2020-04-02,Perlis,0.0,0.0,508.0,12.0,4.0,13.0,1.0
2020-04-02,Pahang,3.0,0.0,1669.0,504.0,33.0,114.0,0.0
2020-04-02,Negeri Sembilan,17.0,1.0,1223.0,262.0,10.0,206.0,3.0
2020-04-02,Malacca,7.0,0.0,1091.0,95.0,12.0,70.0,2.0
2020-04-02,Kelantan,3.0,0.0,1614.0,309.0,25.0,137.0,2.0
2020-04-02,Kedah,1.0,0.0,1218.0,165.0,16.0,80.0,1.0
2020-04-02,Johor,27.0,1.0,2646.0,474.0,0.0,397.0,13.0
2020-04-02,Perak,6.0,0.0,2619.0,322.0,46.0,200.0,3.0
2020-04-03,Labuan,0.0,0.0,122.0,15.0,0.0,10.0,0.0
2020-04-03,Kuala Lumpur,55.0,0.0,3422.0,585.0,30.0,551.0,7.0
2020-04-03,Terengganu,18.0,0.0,1232.0,215.0,12.0,68.0,0.0
2020-04-03,Selangor,63.0,0.0,887.0,476.0,42.0,854.0,8.0
2020-04-03,Sarawak,28.0,1.0,2390.0,418.0,14.0,239.0,10.0
2020-04-03,Sabah,5.0,0.0,2554.0,690.0,50.0,215.0,1.0
2020-04-03,Penang,0.0,0.0,1158.0,86.0,6.0,97.0,1.0
2020-04-03,Putrajaya,1.0,0.0,,,,35.0,1.0
2020-04-03,Perak,5.0,1.0,2619.0,326.0,46.0,205.0,4.0
2020-04-03,Pahang,13.0,1.0,1669.0,504.0,33.0,127.0,1.0
2020-04-03,Negeri Sembilan,4.0,1.0,1223.0,262.0,10.0,210.0,4.0
2020-04-03,Malacca,3.0,0.0,1091.0,117.0,12.0,73.0,2.0
2020-04-03,Kelantan,0.0,1.0,1614.0,309.0,25.0,137.0,3.0
2020-04-03,Kedah,1.0,0.0,1218.0,165.0,16.0,81.0,1.0
2020-04-03,Johor,21.0,0.0,2646.0,474.0,0.0,418.0,13.0
2020-04-03,Perlis,0.0,0.0,508.0,12.0,4.0,13.0,1.0
2020-04-04,Putrajaya,1.0,0.0,,,,36.0,1.0
2020-04-04,Labuan,1.0,0.0,122.0,15.0,0.0,11.0,0.0
2020-04-04,Kuala Lumpur,50.0,1.0,3426.0,598.0,30.0,601.0,8.0
2020-04-04,Terengganu,6.0,0.0,1232.0,215.0,12.0,74.0,0.0
2020-04-04,Selangor,29.0,0.0,887.0,476.0,42.0,883.0,8.0
2020-04-04,Sarawak,7.0,1.0,2390.0,418.0,14.0,246.0,11.0
2020-04-04,Sabah,10.0,1.0,2554.0,690.0,50.0,225.0,2.0
