date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2020-11-01,Selangor,225.0,0.0,887.0,574.0,104.0,4924.0,26.0
2020-11-01,Sarawak,11.0,0.0,2390.0,224.0,26.0,892.0,19.0
2020-11-01,Terengganu,15.0,0.0,1202.0,179.0,12.0,209.0,1.0
2020-11-01,Sabah,644.0,3.0,2942.0,1111.0,130.0,15692.0,134.0
2020-11-01,Labuan,18.0,0.0,122.0,20.0,5.0,487.0,2.0
2020-11-01,Putrajaya,1.0,0.0,,,,148.0,1.0
2020-11-01,Kuala Lumpur,4.0,0.0,2647.0,87.0,38.0,3049.0,19.0
2020-11-01,Penang,23.0,0.0,1292.0,80.0,12.0,1017.0,3.0
2020-11-01,Perlis,0.0,0.0,495.0,12.0,4.0,38.0,2.0
2020-11-01,Perak,5.0,0.0,2619.0,262.0,46.0,516.0,7.0
2020-11-01,Pahang,0.0,0.0,1669.0,86.0,39.0,394.0,7.0
2020-11-01,Negeri Sembilan,8.0,0.0,1331.0,633.0,10.0,1615.0,8.0
2020-11-01,Malacca,1.0,0.0,1091.0,51.0,12.0,312.0,6.0
2020-11-01,Kelantan,0.0,0.0,1454.0,217.0,27.0,180.0,3.0
2020-11-01,Kedah,1.0,0.0,1298.0,320.0,21.0,2125.0,8.0
2020-11-01,Johor,1.0,0.0,2646.0,270.0,30.0,907.0,20.0
2020-11-02,Putrajaya,6.0,0.0,,,,154.0,1.0
2020-11-02,Labuan,105.0,0.0,122.0,20.0,5.0,592.0,2.0
2020-11-02,Kuala Lumpur,22.0,0.0,2647.0,87.0,38.0,3071.0,19.0
2020-11-02,Terengganu,0.0,0.0,1202.0,179.0,12.0,209.0,1.0
2020-11-02,Selangor,129.0,0.0,887.0,574.0,104.0,5053.0,26.0
2020-11-02,Sarawak,14.0,0.0,2390.0,224.0,26.0,906.0,19.0
2020-11-02,Sabah,503.0,2.0,2942.0,1111.0,130.0,16195.0,136.0
2020-11-02,Penang,21.0,0.0,1292.0,80.0,12.0,1038.0,3.0
2020-11-02,Perak,3.0,0.0,2619.0,262.0,46.0,519.0,7.0
2020-11-02,Pahang,1.0,0.0,1669.0,86.0,39.0,395.0,7.0
2020-11-02,Negeri Sembilan,16.0,0.0,1331.0,633.0,10.0,1631.0,8.0
2020-11-02,Malacca,0.0,0.0,1091.0,51.0,12.0,312.0,6.0
2020-11-02,Kelantan,2.0,0.0,1454.0,217.0,27.0,182.0,3.0
2020-11-02,Kedah,3.0,0.0,1298.0,320.0,21.0,2128.0,8.0
2020-11-02,Johor,9.0,0.0,2646.0,270.0,30.0,916.0,20.0
2020-11-02,Perlis,0.0,0.0,495.0,12.0,4.0,38.0,2.0
2020-11-03,Sabah,678.0,2.0,2942.0,1066.0,130.0,16873.0,138.0
2020-11-03,Putrajaya,3.0,0.0,,,,157.0,1.0
2020-11-03,Labuan,81.0,0.0,122.0,20.0,5.0,673.0,2.0
