date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2021-06-01,Labuan,162.0,1.0,122.0,58.0,11.0,3884.0,22.0
2021-06-01,Kuala Lumpur,817.0,6.0,4198.0,1123.0,121.0,59469.0,281.0
2021-06-01,Terengganu,198.0,2.0,1407.0,374.0,26.0,8969.0,39.0
2021-06-01,Selangor,2068.0,28.0,5768.0,2017.0,244.0,188996.0,793.0
2021-06-01,Sarawak,703.0,7.0,3531.0,977.0,106.0,48032.0,299.0
2021-06-01,Sabah,318.0,1.0,2948.0,733.0,85.0,62562.0,471.0
2021-06-01,Penang,400.0,1.0,1292.0,319.0,41.0,29026.0,86.0
2021-06-01,Putrajaya,18.0,0.0,397.0,31.0,8.0,1910.0,9.0
2021-06-01,Perak,387.0,2.0,2728.0,480.0,67.0,21021.0,91.0
2021-06-01,Pahang,190.0,1.0,2250.0,842.0,52.0,9767.0,48.0
2021-06-01,Negeri Sembilan,397.0,2.0,1431.0,894.0,44.0,26702.0,108.0
2021-06-01,Malacca,249.0,4.0,1101.0,250.0,70.0,12335.0,73.0
2021-06-01,Kelantan,531.0,5.0,2710.0,589.0,56.0,28319.0,126.0
2021-06-01,Kedah,236.0,3.0,2755.0,614.0,73.0,19145.0,122.0
2021-06-01,Johor,431.0,8.0,5160.0,1344.0,114.0,58814.0,295.0
2021-06-01,Perlis,0.0,0.0,487.0,85.0,8.0,511.0,4.0
2021-06-02,Putrajaya,1.0,2.0,397.0,31.0,8.0,1911.0,11.0
2021-06-02,Labuan,159.0,8.0,122.0,58.0,11.0,4043.0,30.0
2021-06-02,Kuala Lumpur,701.0,18.0,4198.0,1143.0,119.0,60170.0,299.0
2021-06-02,Terengganu,224.0,5.0,1407.0,374.0,26.0,9193.0,44.0
2021-06-02,Selangor,2728.0,29.0,5768.0,2017.0,244.0,191724.0,822.0
2021-06-02,Sarawak,588.0,4.0,3531.0,977.0,106.0,48620.0,303.0
2021-06-02,Sabah,254.0,2.0,2948.0,733.0,85.0,62816.0,473.0
2021-06-02,Penang,407.0,1.0,1292.0,319.0,41.0,29433.0,87.0
2021-06-02,Perlis,7.0,0.0,487.0,85.0,8.0,518.0,4.0
2021-06-02,Pahang,237.0,3.0,2250.0,842.0,52.0,10004.0,51.0
2021-06-02,Negeri Sembilan,586.0,14.0,1431.0,894.0,44.0,27288.0,122.0
2021-06-02,Malacca,209.0,5.0,1101.0,250.0,70.0,12544.0,78.0
2021-06-02,Kelantan,541.0,12.0,2743.0,622.0,56.0,28860.0,138.0
2021-06-02,Kedah,283.0,10.0,2755.0,614.0,73.0,19428.0,132.0
2021-06-02,Johor,554.0,11.0,5160.0,1385.0,114.0,59368.0,306.0
2021-06-02,Perak,224.0,2.0,2728.0,480.0,67.0,21245.0,93.0
2021-06-03,Sabah,203.0,7.0,2948.0,733.0,85.0,63019.0,480.0
2021-06-03,Labuan,62.0,0.0,122.0,58.0,11.0,4105.0,30.0
2021-06-03,Kuala Lumpur,801.0,14.0,4198.0,1132.0,119.0,60971.0,313.0
2021-06-03,Terengganu,127.0,6.0,1407.0,374.0,26.0,9320.0,50.0
2021-06-03,Selangor,3125.0,27.0,5768.0,2017.0,244.0,194849.0,849.0
2021-06-03,Putrajaya,33.0,0.0,397.0,31.0,8.0,1944.0,11.0
2021-06-03,Penang,303.0,4.0,1292.0,319.0,41.0,29736.0,91.0
2021-06-03,Sarawak,594.0,8.0,3531.0,977.0,106.0,49214.0,311.0
2021-06-03,Perak,384.0,1.0,2728.0,480.0,67.0,21629.0,94.0
2021-06-03,Johor,752.0,14.0,5160.0,1385.0,114.0,60120.0,320.0
2021-06-03,Kedah,373.0,4.0,2755.0,614.0,73.0,19801.0,136.0
2021-06-03,Kelantan,414.0,8.0,2743.0,622.0,56.0,29274.0,146.0
2021-06-03,Perlis,5.0,0.0,487.0,85.0,8.0,523.0,4.0
2021-06-03,Negeri Sembilan,576.0,6.0,1431.0,894.0,44.0,27864.0,128.0
2021-06-03,Pahang,135.0,2.0,2250.0,842.0,52.0,10139.0,53.0
2021-06-03,Malacca,322.0,2.0,1101.0,250.0,70.0,12866.0,80.0
