date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2020-12-01,Selangor,891.0,0.0,887.0,630.0,104.0,14825.0,27.0
2020-12-01,Sarawak,1.0,0.0,2390.0,328.0,26.0,1065.0,19.0
2020-12-01,Terengganu,0.0,0.0,1202.0,179.0,12.0,237.0,1.0
2020-12-01,Sabah,267.0,2.0,2790.0,1202.0,111.0,29038.0,212.0
2020-12-01,Labuan,0.0,0.0,122.0,25.0,5.0,1356.0,5.0
2020-12-01,Putrajaya,0.0,0.0,,,,205.0,1.0
2020-12-01,Kuala Lumpur,26.0,0.0,3154.0,1091.0,38.0,6233.0,19.0
2020-12-01,Penang,29.0,0.0,1292.0,147.0,12.0,2117.0,5.0
2020-12-01,Johor,68.0,0.0,2646.0,380.0,30.0,1447.0,21.0
2020-12-01,Perak,13.0,0.0,2619.0,341.0,52.0,1798.0,14.0
2020-12-01,Pahang,0.0,0.0,1669.0,88.0,39.0,403.0,7.0
2020-12-01,Negeri Sembilan,146.0,0.0,1331.0,633.0,10.0,5061.0,9.0
2020-12-01,Malacca,0.0,0.0,1091.0,72.0,12.0,387.0,6.0
2020-12-01,Kelantan,10.0,0.0,1454.0,289.0,27.0,370.0,3.0
2020-12-01,Kedah,21.0,0.0,1298.0,213.0,21.0,2584.0,11.0
2020-12-01,Perlis,0.0,0.0,495.0,12.0,4.0,43.0,2.0
2020-12-02,Labuan,0.0,0.0,122.0,25.0,5.0,1356.0,5.0
2020-12-02,Kuala Lumpur,85.0,0.0,3154.0,1091.0,38.0,6318.0,19.0
2020-12-02,Terengganu,0.0,0.0,1202.0,179.0,12.0,237.0,1.0
2020-12-02,Selangor,249.0,0.0,887.0,630.0,104.0,15074.0,27.0
2020-12-02,Sarawak,0.0,0.0,2390.0,328.0,26.0,1065.0,19.0
2020-12-02,Sabah,229.0,2.0,2790.0,1202.0,111.0,29267.0,214.0
2020-12-02,Penang,60.0,0.0,1292.0,178.0,13.0,2177.0,5.0
2020-12-02,Putrajaya,0.0,0.0,,,,205.0,1.0
2020-12-02,Perak,34.0,0.0,2619.0,341.0,52.0,1832.0,14.0
2020-12-02,Pahang,1.0,0.0,1669.0,88.0,39.0,404.0,7.0
2020-12-02,Negeri Sembilan,62.0,0.0,1331.0,633.0,11.0,5123.0,9.0
2020-12-02,Malacca,1.0,0.0,1091.0,72.0,12.0,388.0,6.0
2020-12-02,Kelantan,2.0,0.0,1454.0,289.0,27.0,372.0,3.0
2020-12-02,Kedah,26.0,0.0,1298.0,213.0,21.0,2610.0,11.0
2020-12-02,Johor,102.0,0.0,2646.0,436.0,30.0,1549.0,21.0
2020-12-02,Perlis,0.0,0.0,495.0,12.0,4.0,43.0,2.0
2020-12-03,Putrajaya,0.0,1.0,,,,205.0,2.0
2020-12-03,Labuan,9.0,0.0,122.0,25.0,5.0,1365.0,5.0
2020-12-03,Kuala Lumpur,49.0,1.0,3154.0,1091.0,38.0,6367.0,20.0
2020-12-03,Terengganu,1.0,0.0,1202.0,179.0,12.0,238.0,1.0
2020-12-03,Selangor,459.0,3.0,887.0,630.0,104.0,15533.0,30.0
2020-12-03,Sarawak,1.0,0.0,2390.0,328.0,26.0,1066.0,19.0
2020-12-03,Sabah,310.0,2.0,2790.0,1202.0,111.0,29577.0,216.0
2020-12-03,Penang,43.0,0.0,1292.0,178.0,13.0,2220.0,5.0
2020-12-03,Perlis,0.0,0.0,495.0,12.0,4.0,43.0,2.0
2020-12-03,Pahang,4.0,0.0,1669.0,88.0,39.0,408.0,7.0
2020-12-03,Negeri Sembilan,52.0,1.0,1331.0,633.0,11.0,5175.0,10.0
2020-12-03,Malacca,2.0,0.0,1091.0,72.0,12.0,390.0,6.0
2020-12-03,Kelantan,9.0,1.0,1446.0,281.0,27.0,381.0,4.0
2020-12-03,Kedah,32.0,0.0,1298.0,213.0,21.0,2642.0,11.0
2020-12-03,Johor,78.0,2.0,2646.0,572.0,30.0,1627.0,23.0
2020-12-03,Perak,26.0,0.0,2619.0,341.0,52.0,1858.0,14.0
2020-12-04,Sarawak,1.0,0.0,2390.0,328.0,26.0,1067.0,19.0
2020-12-04,Putrajaya,2.0,0.0,,,,207.0,2.0
2020-12-04,Labuan,3.0,0.0,122.0,25.0,5.0,1368.0,5.0
2020-12-04,Kuala Lumpur,256.0,0.0,3154.0,1091.0,38.0,6623.0,20.0
2020-12-04,Terengganu,0.0,0.0,1202.0,179.0,12.0,238.0,1.0
2020-12-04,Selangor,320.0,0.0,887.0,630.0,104.0,15853.0,30.0
2020-12-04,Sabah,320.0,0.0,2790.0,1202.0,111.0,29897.0,216.0
2020-12-04,Penang,48.0,0.0,1292.0,178.0,13.0,2268.0,5.0
2020-12-04,Perak,47.0,0.0,2619.0,341.0,52.0,1905.0,14.0
2020-12-04,Pahang,15.0,0.0,1669.0,88.0,39.0,423.0,7.0
2020-12-04,Negeri Sembilan,15.0,0.0,1331.0,633.0,11.0,5190.0,10.0
2020-12-04,Malacca,0.0,0.0,1091.0,72.0,12.0,390.0,6.0
2020-12-04,Kelantan,20.0,0.0,1446.0,281.0,27.0,401.0,4.0
2020-12-04,Kedah,24.0,0.0,1298.0,213.0,21.0,2666.0,11.0
2020-12-04,Johor,69.0,0.0,2646.0,572.0,31.0,1696.0,23.0
2020-12-04,Perlis,1.0,0.0,495.0,12.0,4.0,44.0,2.0
2020-12-05,Putrajaya,4.0,0.0,,,,211.0,2.0
2020-12-05,Labuan,10.0,0.0,122.0,25.0,5.0,1378.0,5.0
2020-12-05,Terengganu,0.0,0.0,1202.0,179.0,12.0,238.0,1.0
2020-12-05,Selangor,222.0,1.0,887.0,630.0,104.0,16075.0,31.0
2020-12-05,Sarawak,1.0,0.0,2390.0,328.0,26.0,1068.0,19.0
2020-12-05,Sabah,391.0,2.0,2790.0,1221.0,111.0,30288.0,218.0
2020-12-05,Penang,44.0,0.0,1292.0,178.0,13.0,2312.0,5.0
2020-12-05,Kuala Lumpur,264.0,0.0,3154.0,1091.0,38.0,6887.0,20.0
2020-12-05,Perak,39.0,0.0,2619.0,341.0,52.0,1944.0,14.0
2020-12-05,Pahang,2.0,0.0,1758.0,116.0,39.0,425.0,7.0
2020-12-05,Negeri Sembilan,10.0,0.0,1331.0,633.0,11.0,5200.0,10.0
2020-12-05,Malacca,5.0,0.0,1091.0,72.0,12.0,395.0,6.0
2020-12-05,Kelantan,35.0,0.0,1446.0,281.0,27.0,436.0,4.0
2020-12-05,Kedah,30.0,0.0,1298.0,213.0,21.0,2696.0,11.0
2020-12-05,Johor,66.0,1.0,2646.0,572.0,43.0,1762.0,24.0
2020-12-05,Perlis,0.0,0.0,495.0,12.0,4.0,44.0,2.0
2020-12-06,Putrajaya,0.0,0.0,,,,211.0,2.0
2020-12-06,Labuan,21.0,0.0,122.0,25.0,5.0,1399.0,5.0
2020-12-06,Kuala Lumpur,178.0,0.0,3154.0,1091.0,38.0,7065.0,20.0
2020-12-06,Terengganu,1.0,0.0,1202.0,179.0,12.0,239.0,1.0
2020-12-06,Selangor,337.0,0.0,887.0,630.0,104.0,16412.0,31.0
2020-12-06,Sarawak,0.0,0.0,2390.0,328.0,26.0,1068.0,19.0
2020-12-06,Sabah,250.0,1.0,2790.0,1221.0,111.0,30538.0,219.0
2020-12-06,Penang,31.0,0.0,1292.0,178.0,12.0,2343.0,5.0
2020-12-06,Pahang,4.0,0.0,1758.0,116.0,39.0,429.0,7.0
2020-12-06,Perak,108.0,1.0,2619.0,341.0,52.0,2052.0,15.0
2020-12-06,Negeri Sembilan,258.0,0.0,1331.0,633.0,10.0,5458.0,10.0
