date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2021-03-01,Sabah,104.0,2.0,2948.0,966.0,118.0,52990.0,375.0
2021-03-01,Labuan,0.0,0.0,122.0,25.0,5.0,2253.0,12.0
2021-03-01,Kuala Lumpur,75.0,2.0,3997.0,723.0,44.0,35046.0,101.0
2021-03-01,Putrajaya,6.0,0.0,,,,1069.0,8.0
2021-03-01,Terengganu,15.0,0.0,1307.0,288.0,4.0,3211.0,11.0
2021-03-01,Selangor,453.0,0.0,5161.0,1316.0,115.0,100348.0,287.0
2021-03-01,Sarawak,220.0,0.0,3054.0,870.0,47.0,9765.0,85.0
2021-03-01,Penang,85.0,0.0,1292.0,248.0,22.0,11573.0,17.0
2021-03-01,Kelantan,36.0,0.0,2641.0,337.0,25.0,4918.0,20.0
2021-03-01,Perak,144.0,0.0,2728.0,359.0,34.0,11365.0,40.0
2021-03-01,Pahang,8.0,0.0,2170.0,701.0,39.0,3796.0,14.0
2021-03-01,Negeri Sembilan,167.0,0.0,1251.0,503.0,20.0,15976.0,30.0
2021-03-01,Malacca,8.0,1.0,1101.0,165.0,17.0,5983.0,21.0
2021-03-01,Kedah,16.0,0.0,1924.0,418.0,21.0,7627.0,22.0
2021-03-01,Perlis,1.0,0.0,508.0,57.0,6.0,213.0,2.0
2021-03-01,Johor,490.0,0.0,4550.0,952.0,65.0,36447.0,95.0
2021-03-02,Penang,106.0,0.0,1292.0,248.0,22.0,11679.0,17.0
2021-03-02,Putrajaya,1.0,0.0,,,,1070.0,8.0
2021-03-02,Labuan,0.0,0.0,122.0,25.0,5.0,2253.0,12.0
2021-03-02,Kuala Lumpur,145.0,1.0,3997.0,723.0,44.0,35191.0,102.0
2021-03-02,Terengganu,7.0,0.0,1307.0,288.0,4.0,3218.0,11.0
2021-03-02,Selangor,672.0,3.0,5161.0,1316.0,115.0,101020.0,290.0
2021-03-02,Sarawak,159.0,0.0,3054.0,870.0,47.0,9924.0,85.0
2021-03-02,Sabah,53.0,1.0,2948.0,932.0,104.0,53043.0,376.0
2021-03-02,Perlis,0.0,0.0,508.0,57.0,6.0,213.0,2.0
2021-03-02,Pahang,3.0,0.0,2170.0,701.0,39.0,3799.0,14.0
2021-03-02,Negeri Sembilan,115.0,0.0,1251.0,503.0,20.0,16091.0,30.0
2021-03-02,Malacca,11.0,0.0,1101.0,165.0,17.0,5994.0,21.0
2021-03-02,Kelantan,46.0,0.0,2641.0,337.0,25.0,4964.0,20.0
2021-03-02,Kedah,11.0,0.0,1924.0,418.0,21.0,7638.0,22.0
2021-03-02,Johor,163.0,0.0,4550.0,952.0,65.0,36610.0,95.0
2021-03-02,Perak,63.0,1.0,2728.0,359.0,34.0,11428.0,41.0
2021-03-03,Labuan,0.0,0.0,122.0,25.0,5.0,2253.0,12.0
2021-03-03,Kuala Lumpur,92.0,2.0,3997.0,705.0,44.0,35283.0,104.0
2021-03-03,Terengganu,5.0,0.0,1307.0,288.0,4.0,3223.0,11.0
2021-03-03,Selangor,640.0,1.0,5161.0,1316.0,115.0,101660.0,291.0
2021-03-03,Sarawak,139.0,1.0,3054.0,870.0,49.0,10063.0,86.0
2021-03-03,Sabah,95.0,1.0,2948.0,932.0,104.0,53138.0,377.0
2021-03-03,Penang,90.0,0.0,1292.0,248.0,22.0,11769.0,17.0
2021-03-03,Putrajaya,3.0,0.0,,,,1073.0,8.0
2021-03-03,Perak,136.0,0.0,2728.0,359.0,34.0,11564.0,41.0
