date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2021-02-01,Labuan,7.0,1.0,122.0,25.0,5.0,2154.0,12.0
2021-02-01,Kuala Lumpur,702.0,0.0,3113.0,780.0,44.0,26301.0,42.0
2021-02-01,Terengganu,38.0,1.0,1307.0,288.0,4.0,2180.0,5.0
2021-02-01,Selangor,1362.0,1.0,5161.0,1268.0,113.0,69298.0,158.0
2021-02-01,Sarawak,105.0,1.0,3054.0,866.0,42.0,4555.0,39.0
2021-02-01,Sabah,276.0,0.0,2948.0,1282.0,122.0,49144.0,324.0
2021-02-01,Penang,119.0,0.0,1292.0,224.0,21.0,7967.0,12.0
2021-02-01,Putrajaya,10.0,0.0,,,,892.0,6.0
2021-02-01,Perak,193.0,1.0,2728.0,359.0,34.0,6300.0,29.0
2021-02-01,Pahang,54.0,0.0,2170.0,701.0,39.0,3038.0,10.0
2021-02-01,Negeri Sembilan,91.0,3.0,1331.0,633.0,20.0,11741.0,23.0
2021-02-01,Malacca,85.0,1.0,1101.0,231.0,17.0,3660.0,12.0
2021-02-01,Kelantan,57.0,0.0,2390.0,406.0,25.0,3308.0,12.0
2021-02-01,Kedah,47.0,0.0,1924.0,413.0,40.0,5833.0,17.0
2021-02-01,Johor,1068.0,1.0,4550.0,706.0,65.0,22626.0,67.0
2021-02-01,Perlis,0.0,0.0,508.0,57.0,6.0,176.0,2.0
2021-02-02,Putrajaya,6.0,0.0,,,,898.0,6.0
2021-02-02,Labuan,1.0,0.0,122.0,25.0,5.0,2155.0,12.0
2021-02-02,Kuala Lumpur,619.0,2.0,3113.0,780.0,44.0,26920.0,44.0
2021-02-02,Terengganu,115.0,0.0,1307.0,288.0,4.0,2295.0,5.0
2021-02-02,Selangor,1145.0,12.0,5161.0,1268.0,113.0,70443.0,170.0
2021-02-02,Sarawak,121.0,0.0,3054.0,866.0,42.0,4676.0,39.0
2021-02-02,Sabah,276.0,4.0,2948.0,1282.0,122.0,49420.0,328.0
2021-02-02,Penang,85.0,0.0,1292.0,224.0,21.0,8052.0,12.0
2021-02-02,Perlis,1.0,0.0,508.0,57.0,6.0,177.0,2.0
2021-02-02,Pahang,63.0,0.0,2170.0,701.0,39.0,3101.0,10.0
