date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2021-05-01,Putrajaya,3.0,0.0,,,,1375.0,8.0
2021-05-01,Penang,133.0,2.0,1292.0,248.0,22.0,19939.0,28.0
2021-05-01,Labuan,3.0,0.0,122.0,25.0,5.0,2456.0,12.0
2021-05-01,Kuala Lumpur,315.0,2.0,3997.0,281.0,44.0,43969.0,147.0
2021-05-01,Terengganu,42.0,1.0,1307.0,288.0,20.0,4235.0,15.0
2021-05-01,Selangor,759.0,5.0,4742.0,1261.0,108.0,133651.0,388.0
2021-05-01,Sarawak,445.0,2.0,2809.0,824.0,80.0,31104.0,180.0
2021-05-01,Sabah,64.0,1.0,2948.0,660.0,87.0,58200.0,436.0
2021-05-01,Perlis,0.0,0.0,508.0,57.0,6.0,364.0,2.0
2021-05-01,Pahang,47.0,0.0,2170.0,701.0,39.0,5225.0,19.0
2021-05-01,Negeri Sembilan,89.0,1.0,1251.0,503.0,20.0,18839.0,36.0
2021-05-01,Malacca,54.0,0.0,1101.0,125.0,17.0,7428.0,22.0
2021-05-01,Kelantan,442.0,1.0,2736.0,497.0,60.0,14274.0,41.0
2021-05-01,Kedah,111.0,0.0,1844.0,215.0,29.0,10035.0,25.0
2021-05-01,Johor,310.0,0.0,4576.0,741.0,97.0,45687.0,117.0
2021-05-01,Perak,64.0,0.0,2728.0,270.0,43.0,14813.0,45.0
2021-05-02,Labuan,7.0,0.0,122.0,25.0,5.0,2463.0,12.0
2021-05-02,Kuala Lumpur,198.0,1.0,3997.0,281.0,44.0,44167.0,148.0
2021-05-02,Terengganu,184.0,0.0,1307.0,288.0,20.0,4419.0,15.0
2021-05-02,Selangor,1200.0,1.0,4742.0,1261.0,113.0,134851.0,389.0
2021-05-02,Sarawak,587.0,2.0,2809.0,824.0,94.0,31691.0,182.0
2021-05-02,Sabah,115.0,0.0,2948.0,649.0,85.0,58315.0,436.0
2021-05-02,Penang,145.0,0.0,1292.0,248.0,22.0,20084.0,28.0
2021-05-02,Putrajaya,8.0,0.0,,,,1383.0,8.0
2021-05-02,Perak,77.0,1.0,2728.0,270.0,43.0,14890.0,46.0
2021-05-02,Pahang,45.0,0.0,2170.0,701.0,39.0,5270.0,19.0
2021-05-02,Negeri Sembilan,73.0,2.0,1251.0,503.0,20.0,18912.0,38.0
2021-05-02,Malacca,61.0,0.0,1101.0,125.0,18.0,7489.0,22.0
2021-05-02,Kelantan,400.0,3.0,2736.0,525.0,60.0,14674.0,44.0
2021-05-02,Kedah,101.0,0.0,1844.0,215.0,29.0,10136.0,25.0
2021-05-02,Johor,213.0,2.0,4576.0,760.0,97.0,45900.0,119.0
2021-05-02,Perlis,4.0,0.0,508.0,57.0,6.0,368.0,2.0
2021-05-03,Putrajaya,3.0,0.0,,,,1386.0,8.0
2021-05-03,Labuan,0.0,0.0,122.0,25.0,5.0,2463.0,12.0
2021-05-03,Kuala Lumpur,200.0,3.0,3997.0,348.0,44.0,44367.0,151.0
2021-05-03,Terengganu,38.0,0.0,1307.0,288.0,20.0,4457.0,15.0
2021-05-03,Selangor,637.0,7.0,4742.0,1261.0,113.0,135488.0,396.0
2021-05-03,Sarawak,356.0,2.0,2809.0,824.0,106.0,32047.0,184.0
2021-05-03,Sabah,57.0,1.0,2948.0,671.0,85.0,58372.0,437.0
2021-05-03,Penang,194.0,0.0,1292.0,248.0,22.0,20278.0,28.0
2021-05-03,Perlis,0.0,0.0,508.0,57.0,6.0,368.0,2.0
2021-05-03,Pahang,55.0,0.0,2170.0,701.0,39.0,5325.0,19.0
2021-05-03,Negeri Sembilan,97.0,1.0,1251.0,503.0,20.0,19009.0,39.0
2021-05-03,Malacca,95.0,0.0,1101.0,125.0,18.0,7584.0,22.0
2021-05-03,Kelantan,401.0,2.0,2736.0,542.0,60.0,15075.0,46.0
2021-05-03,Kedah,103.0,1.0,1844.0,215.0,29.0,10239.0,26.0
2021-05-03,Johor,205.0,1.0,4645.0,778.0,97.0,46105.0,120.0
2021-05-03,Perak,59.0,0.0,2728.0,288.0,43.0,14949.0,46.0
2021-05-04,Sarawak,620.0,4.0,2809.0,824.0,106.0,32667.0,188.0
2021-05-04,Putrajaya,11.0,0.0,,,,1397.0,8.0
2021-05-04,Labuan,5.0,0.0,122.0,25.0,5.0,2468.0,12.0
2021-05-04,Kuala Lumpur,408.0,0.0,3997.0,448.0,44.0,44775.0,151.0
2021-05-04,Terengganu,53.0,0.0,1307.0,288.0,20.0,4510.0,15.0
2021-05-04,Selangor,675.0,6.0,4742.0,1261.0,113.0,136163.0,402.0
2021-05-04,Penang,167.0,0.0,1292.0,248.0,18.0,20445.0,28.0
2021-05-04,Sabah,89.0,2.0,2948.0,671.0,85.0,58461.0,439.0
2021-05-04,Perak,117.0,1.0,2728.0,288.0,44.0,15066.0,47.0
2021-05-04,Johor,336.0,2.0,4775.0,894.0,97.0,46441.0,122.0
2021-05-04,Kedah,155.0,1.0,1844.0,215.0,29.0,10394.0,27.0
2021-05-04,Kelantan,296.0,6.0,2704.0,510.0,60.0,15371.0,52.0
2021-05-04,Perlis,0.0,0.0,508.0,57.0,6.0,368.0,2.0
2021-05-04,Negeri Sembilan,95.0,0.0,1251.0,503.0,20.0,19104.0,39.0
2021-05-04,Pahang,41.0,0.0,2170.0,701.0,39.0,5366.0,19.0
2021-05-04,Malacca,52.0,1.0,1101.0,125.0,24.0,7636.0,23.0
2021-05-05,Putrajaya,11.0,0.0,,,,1408.0,8.0
2021-05-05,Labuan,5.0,0.0,122.0,25.0,5.0,2473.0,12.0
2021-05-05,Kuala Lumpur,313.0,0.0,3997.0,448.0,44.0,45088.0,151.0
2021-05-05,Terengganu,73.0,0.0,1307.0,288.0,20.0,4583.0,15.0
2021-05-05,Selangor,1548.0,9.0,4742.0,1261.0,113.0,137711.0,411.0
2021-05-05,Sabah,50.0,0.0,2948.0,671.0,85.0,58511.0,439.0
2021-05-05,Penang,195.0,0.0,1292.0,248.0,18.0,20640.0,28.0
2021-05-05,Sarawak,419.0,2.0,2809.0,839.0,106.0,33086.0,190.0
