date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2021-04-01,Sarawak,238.0,2.0,3054.0,924.0,61.0,16628.0,110.0
2021-04-01,Putrajaya,1.0,0.0,,,,1144.0,8.0
2021-04-01,Labuan,7.0,0.0,122.0,25.0,5.0,2335.0,12.0
2021-04-01,Kuala Lumpur,101.0,1.0,3997.0,288.0,44.0,37919.0,119.0
2021-04-01,Terengganu,6.0,0.0,1231.0,212.0,4.0,3599.0,13.0
2021-04-01,Selangor,237.0,0.0,4742.0,1227.0,108.0,116317.0,332.0
2021-04-01,Penang,190.0,0.0,1292.0,248.0,22.0,16259.0,21.0
2021-04-01,Sabah,86.0,1.0,2948.0,645.0,71.0,54853.0,393.0
2021-04-01,Perak,31.0,0.0,2728.0,359.0,34.0,12997.0,44.0
2021-04-01,Perlis,0.0,0.0,508.0,57.0,6.0,330.0,2.0
2021-04-01,Pahang,14.0,0.0,2170.0,701.0,39.0,4280.0,17.0
2021-04-01,Negeri Sembilan,34.0,0.0,1251.0,503.0,20.0,17302.0,31.0
2021-04-01,Malacca,9.0,0.0,1101.0,125.0,17.0,6551.0,22.0
2021-04-01,Kelantan,27.0,1.0,2407.0,294.0,23.0,6277.0,24.0
2021-04-01,Kedah,32.0,0.0,1844.0,215.0,21.0,8467.0,25.0
2021-04-01,Johor,165.0,1.0,4550.0,952.0,65.0,41420.0,105.0
2021-04-02,Labuan,4.0,0.0,122.0,25.0,5.0,2339.0,12.0
2021-04-02,Kuala Lumpur,88.0,0.0,3997.0,288.0,44.0,38007.0,119.0
2021-04-02,Terengganu,8.0,0.0,1231.0,212.0,4.0,3607.0,13.0
2021-04-02,Selangor,455.0,0.0,4742.0,1227.0,108.0,116772.0,332.0
2021-04-02,Sarawak,217.0,2.0,3054.0,924.0,61.0,16845.0,112.0
2021-04-02,Sabah,63.0,1.0,2948.0,645.0,71.0,54916.0,394.0
2021-04-02,Penang,139.0,1.0,1292.0,248.0,22.0,16398.0,22.0
2021-04-02,Putrajaya,5.0,0.0,,,,1149.0,8.0
2021-04-02,Perak,14.0,0.0,2728.0,359.0,34.0,13011.0,44.0
2021-04-02,Pahang,57.0,0.0,2170.0,701.0,39.0,4337.0,17.0
2021-04-02,Negeri Sembilan,31.0,0.0,1251.0,503.0,20.0,17333.0,31.0
2021-04-02,Malacca,22.0,0.0,1101.0,125.0,17.0,6573.0,22.0
2021-04-02,Kelantan,66.0,0.0,2407.0,294.0,23.0,6343.0,24.0
2021-04-02,Kedah,21.0,0.0,1844.0,215.0,21.0,8488.0,25.0
2021-04-02,Johor,103.0,1.0,4550.0,952.0,65.0,41523.0,106.0
2021-04-02,Perlis,1.0,0.0,508.0,57.0,6.0,331.0,2.0
2021-04-03,Putrajaya,7.0,0.0,,,,1156.0,8.0
2021-04-03,Labuan,12.0,0.0,122.0,25.0,5.0,2351.0,12.0
2021-04-03,Kuala Lumpur,67.0,1.0,3997.0,288.0,44.0,38074.0,120.0
2021-04-03,Terengganu,4.0,0.0,1231.0,212.0,4.0,3611.0,13.0
2021-04-03,Selangor,352.0,0.0,4742.0,1227.0,108.0,117124.0,332.0
2021-04-03,Sarawak,290.0,1.0,3054.0,924.0,61.0,17135.0,113.0
2021-04-03,Sabah,73.0,0.0,2948.0,645.0,71.0,54989.0,394.0
2021-04-03,Penang,92.0,0.0,1292.0,248.0,22.0,16490.0,22.0
2021-04-03,Perlis,0.0,0.0,508.0,57.0,6.0,331.0,2.0
2021-04-03,Pahang,35.0,0.0,2170.0,701.0,39.0,4372.0,17.0
2021-04-03,Negeri Sembilan,25.0,0.0,1251.0,503.0,20.0,17358.0,31.0
2021-04-03,Malacca,20.0,0.0,1101.0,125.0,17.0,6593.0,22.0
2021-04-03,Kelantan,64.0,1.0,2407.0,294.0,23.0,6407.0,25.0
2021-04-03,Kedah,20.0,0.0,1844.0,215.0,21.0,8508.0,25.0
2021-04-03,Johor,83.0,0.0,4550.0,952.0,65.0,41606.0,106.0
2021-04-03,Perak,494.0,0.0,2728.0,359.0,34.0,13505.0,44.0
2021-04-04,Sabah,68.0,1.0,2948.0,645.0,71.0,55057.0,395.0
