date,price,open,high,low,change %
2021-09-30,0.2388,0.2384,0.239,0.2383,-0.05%
2021-09-29,0.2389,0.2389,0.2391,0.2385,-0.03%
2021-09-28,0.2389,0.2388,0.2393,0.2386,0.11%
2021-09-27,0.2387,0.2386,0.2391,0.2386,0.00%
2021-09-24,0.2387,0.2391,0.2395,0.2387,-0.15%
2021-09-23,0.239,0.2385,0.2393,0.238,0.24%
2021-09-22,0.2384,0.2389,0.2391,0.2385,-0.19%
2021-09-21,0.2389,0.2385,0.239,0.2385,0.21%
2021-09-20,0.2384,0.2397,0.2397,0.2385,-0.53%
2021-09-17,0.2396,0.2401,0.2404,0.2394,-0.31%
2021-09-15,0.2404,0.2405,0.2406,0.24,0.10%
2021-09-14,0.2402,0.2411,0.2412,0.2403,-0.29%
2021-09-13,0.2409,0.2413,0.2414,0.2409,-0.34%
2021-09-10,0.2417,0.2412,0.2421,0.241,0.29%
2021-09-09,0.241,0.2407,0.2413,0.2407,0.14%
2021-09-08,0.2406,0.2404,0.2407,0.2404,0.02%
2021-09-07,0.2406,0.2411,0.2412,0.2405,-0.17%
2021-09-06,0.241,0.2413,0.2414,0.2411,-0.02%
2021-09-03,0.241,0.2407,0.2413,0.2406,0.27%
2021-09-02,0.2404,0.241,0.2412,0.2402,-0.12%
2021-09-01,0.2407,0.2405,0.2413,0.2404,0.06%
