date,price,open,high,low,change %
2021-01-29,0.2472,0.2471,0.2477,0.2465,0.05%
2021-01-27,0.2471,0.2474,0.2476,0.2471,0.08%
2021-01-26,0.2469,0.2472,0.2474,0.2469,-0.10%
2021-01-25,0.2472,0.2472,0.2474,0.2471,-0.04%
2021-01-22,0.2473,0.2481,0.2481,0.2473,-0.31%
2021-01-21,0.248,0.2474,0.2482,0.2473,0.37%
2021-01-20,0.2471,0.247,0.2474,0.247,0.13%
2021-01-19,0.2468,0.247,0.2472,0.2466,0.05%
2021-01-18,0.2467,0.2471,0.2473,0.2468,-0.40%
2021-01-15,0.2476,0.2476,0.248,0.2476,0.00%
2021-01-14,0.2476,0.2472,0.2478,0.2471,0.22%
2021-01-13,0.2471,0.2469,0.2477,0.2465,0.32%
2021-01-12,0.2463,0.2472,0.2472,0.2453,-0.15%
2021-01-11,0.2467,0.2476,0.2476,0.2468,-0.49%
2021-01-08,0.2479,0.2475,0.2481,0.2471,0.17%
2021-01-07,0.2475,0.2491,0.2494,0.2474,-0.69%
2021-01-06,0.2492,0.2495,0.2496,0.2488,0.17%
2021-01-05,0.2488,0.2491,0.2497,0.2489,-0.27%
2021-01-04,0.2494,0.2491,0.2503,0.2491,0.34%
2021-01-01,0.2486,0.2486,0.2486,0.2486,0.00%
