date,price,open,high,low,change %
2020-08-31,0.2398,0.2398,0.2398,0.2398,-0.12%
2020-08-28,0.2401,0.2392,0.2402,0.2392,0.23%
2020-08-27,0.2395,0.2398,0.2401,0.2395,-0.10%
2020-08-26,0.2397,0.2398,0.2401,0.2392,0.00%
2020-08-25,0.2397,0.2392,0.24,0.2392,0.17%
2020-08-24,0.2394,0.2391,0.2395,0.2391,0.07%
2020-08-21,0.2392,0.2394,0.2394,0.2392,-0.14%
2020-08-19,0.2395,0.2392,0.2397,0.2391,0.24%
2020-08-18,0.2389,0.2382,0.2391,0.2382,0.23%
2020-08-17,0.2384,0.2387,0.2393,0.2384,0.04%
2020-08-14,0.2383,0.2386,0.2386,0.238,-0.03%
2020-08-13,0.2384,0.2387,0.239,0.2385,0.03%
2020-08-12,0.2383,0.2385,0.2387,0.2379,0.05%
2020-08-11,0.2382,0.2382,0.2388,0.2378,0.00%
2020-08-10,0.2382,0.2388,0.2389,0.2382,-0.25%
2020-08-07,0.2388,0.2389,0.2389,0.2382,0.02%
2020-08-06,0.2387,0.2384,0.239,0.2384,0.10%
2020-08-05,0.2385,0.2372,0.2385,0.2372,0.69%
2020-08-04,0.2369,0.2366,0.2373,0.2365,0.07%
2020-08-03,0.2367,0.2359,0.2369,0.2357,0.35%
