date,price,open,high,low,change %
2020-02-28,0.2374,0.2374,0.2376,0.2362,-0.04%
2020-02-27,0.2375,0.2362,0.2379,0.2362,0.38%
2020-02-26,0.2366,0.2362,0.2371,0.2356,0.21%
2020-02-25,0.2361,0.2366,0.2374,0.2361,-0.34%
2020-02-24,0.2369,0.2382,0.2391,0.2366,-0.75%
2020-02-21,0.2387,0.2391,0.2392,0.2382,-0.17%
2020-02-20,0.2391,0.2402,0.2402,0.2389,-0.42%
2020-02-19,0.2401,0.2412,0.2412,0.2401,-0.25%
2020-02-18,0.2407,0.2412,0.2412,0.2407,-0.21%
2020-02-17,0.2412,0.2417,0.2417,0.2412,-0.08%
2020-02-14,0.2414,0.2417,0.2417,0.241,0.00%
2020-02-13,0.2414,0.2417,0.2417,0.2412,-0.12%
2020-02-12,0.2417,0.2419,0.2427,0.2415,-0.12%
2020-02-11,0.242,0.241,0.242,0.241,0.41%
2020-02-10,0.241,0.2414,0.2417,0.2409,-0.17%
2020-02-07,0.2414,0.2424,0.2427,0.2414,-0.45%
2020-02-06,0.2425,0.2427,0.2429,0.2424,-0.08%
2020-02-05,0.2427,0.2433,0.2433,0.2422,-0.29%
2020-02-04,0.2434,0.2429,0.2434,0.2425,0.21%
2020-02-03,0.2429,0.244,0.244,0.2429,-0.53%
