date,price,open,high,low,change %
2021-08-31,0.2405,0.2405,0.2405,0.2405,0.04%
2021-08-30,0.2404,0.2391,0.2406,0.2391,0.79%
2021-08-27,0.2386,0.2384,0.2387,0.238,0.12%
2021-08-26,0.2383,0.238,0.2388,0.238,0.27%
2021-08-25,0.2376,0.2373,0.2379,0.2369,0.28%
2021-08-24,0.237,0.2369,0.2372,0.2365,0.19%
2021-08-23,0.2365,0.2362,0.2368,0.2361,0.26%
2021-08-20,0.2359,0.2358,0.236,0.2356,0.00%
2021-08-19,0.2359,0.2358,0.236,0.2357,0.00%
2021-08-18,0.2359,0.236,0.2364,0.2357,0.00%
2021-08-17,0.2359,0.2358,0.236,0.2358,0.00%
2021-08-16,0.2359,0.236,0.2363,0.2356,0.00%
2021-08-13,0.2359,0.2362,0.2362,0.236,-0.10%
2021-08-12,0.2361,0.2359,0.2363,0.2359,0.17%
2021-08-11,0.2357,0.2361,0.2362,0.2358,-0.26%
2021-08-09,0.2363,0.2369,0.2369,0.2364,-0.24%
2021-08-06,0.2369,0.2371,0.2375,0.2369,-0.03%
2021-08-05,0.237,0.2367,0.2375,0.2366,0.10%
2021-08-04,0.2367,0.2366,0.2371,0.2363,-0.03%
2021-08-03,0.2368,0.2367,0.2369,0.2366,0.08%
2021-08-02,0.2366,0.2369,0.2369,0.2366,-0.11%
