date,price,open,high,low,change %
2022-02-21,0.2389,0.2387,0.2389,0.2387,0.04%
2022-02-18,0.2388,0.239,0.2391,0.2389,0.05%
2022-02-17,0.2387,0.2391,0.2391,0.2388,-0.07%
2022-02-16,0.2388,0.2391,0.2391,0.2387,0.00%
2022-02-15,0.2388,0.2387,0.2389,0.2387,0.10%
2022-02-14,0.2386,0.2386,0.2387,0.2385,-0.03%
2022-02-11,0.2386,0.2388,0.2388,0.2387,-0.14%
2022-02-10,0.2389,0.2391,0.2391,0.2389,0.04%
2022-02-09,0.2389,0.239,0.2391,0.2389,0.00%
2022-02-08,0.239,0.2391,0.2391,0.239,0.04%
2022-02-07,0.2389,0.239,0.2391,0.2389,-0.10%
2022-02-04,0.2392,0.2394,0.2395,0.239,0.10%
2022-02-03,0.2389,0.239,0.2394,0.239,-0.04%
2022-02-02,0.239,0.239,0.239,0.239,0.05%
